1,Ich liebe,Aktionen
2,Gurke,Essen
3,Kuh,Tiere
4,umarmen,Aktionen/Zusammenfassung
5,Anker,Objekte
6,Halle,Objekte/Orte
7,Emilia,Personen/Namen
8,Salz,Essen
9,Fuchs,Tiere
10,Pferd,Tiere
11,Anna,Personen/Namen
12,Frühling,Zeit/Natur
13,ausgezeichnet,Beschreibend
14,Ei,Essen
15,Hof,Objekte/Orte
16,Ohr,Körperteile
17,sie,Abstrakte Konzepte
18,Auto,Objekte/Transport
19,er,Abstrakte Konzepte
20,Ich habe gesagt,Aktionen
21,Boot,Objekte/Transport
22,ich nehme raus,Aktionen
23,Vivi,Personen/Namen
24,Buch,Objekte
25,Schraube,Objekte
26,Ich verstehe,Aktionen
27,gehen,Aktionen
28,Berg,Natur
29,finde ich,Aktionen
30,Esel,Tiere
31,Milch,Essen
32,hellblau,Farben
33,Gelassenheit,Personen/Namen
34,Handschuhe,Objekte
35,Katze,Tiere
36,Hallo,Abstrakte Konzepte
37,Ich lache,Aktionen
38,Großmutter,Personen/Familie
39,Ziel,Abstrakte Konzepte
40,süß,Essen/Beschreibend
41,Schwein,Tiere
42,Danae,Personen/Namen
43,Lehrer,Personen/Beruf
44,Lehrer,Personen/Beruf
45,Wald,Natur
46,zwei,Zahlen
47,drei,Zahlen
48,vier,Zahlen
49,fünf,Zahlen
50,sechs,Zahlen
51,sieben,Zahlen
52,acht,Zahlen
53,neun,Zahlen
54,zehn,Zahlen
55,eins,Zahlen
56,Paket,Objekte
57,ich gebe,Aktionen
58,Zahn,Körperteile
59,Zimmer,Objekte/Orte
60,Geschenk,Objekte
61,ich,Abstrakte Konzepte
62,hier,Abstrakte Konzepte
63,Bild,Objekte
64,es ist neu,Abstrakte Konzepte
65,Frieden,Personen/Namen
66,dort,Abstrakte Konzepte
67,komm schon,Aktionen
68,komm schon,Aktionen
69,Tanne,Natur
70,Helen,Personen/Namen
71,wir,Abstrakte Konzepte
72,ich,Abstrakte Konzepte
73,eins,Abstrakte Konzepte
74,Du,Abstrakte Konzepte
75,Du,Abstrakte Konzepte
76,Evie,Personen/Namen
77,Euro,Abstrakte Konzepte
