1,αγαπώ,Ενέργειες
2,αγγούρι,Φαγητό
3,αγελάδα,Ζώα
4,αγκαλιά,Ενέργειες/Αφηρημένες έννοιες
5,άγκυρα,Αντικείμενα
6,αίθουσα,Αντικείμενα/Μέρη
7,Αιμιλία,Άνθρωποι/Ονόματα
8,αλάτι,Φαγητό
9,αλεπού,Ζώα
10,άλογο,Ζώα
11,Άννα,Άνθρωποι/Ονόματα
12,άνοιξη,Χρόνος/Φύση
13,άριστα,Περιγραφικές λέξεις
14,αυγό,Φαγητό
15,αυλή,Αντικείμενα/Μέρη
16,αυτί,Μέρη του σώματος
17,αυτοί,Αφηρημένες έννοιες
18,αυτοκίνητο,Αντικείμενα/Μεταφορικά μέσα
19,αυτός,Αφηρημένες έννοιες
20,βάζω,Ενέργειες
21,βάρκα,Αντικείμενα/Μεταφορικά μέσα
22,βγάζω,Ενέργειες
23,Βιβή,Άνθρωποι/Ονόματα
24,βιβλίο,Αντικείμενα
25,βίδα,Αντικείμενα
26,βλέπω,Ενέργειες
27,βόλτα,Ενέργειες
28,βουνό,Φύση
29,βρίσκω,Ενέργειες
30,γάιδαρος,Ζώα
31,γάλα,Φαγητό
32,γαλάζιο,Χρώματα
33,Γαλήνη,Άνθρωποι/Ονόματα
34,γάντια,Αντικείμενα
35,γάτα,Ζώα
36,γεια,Αφηρημένες έννοιες
37,γελώ,Ενέργειες
38,γιαγιά,Άνθρωποι/Οικογένεια
39,γκολ,Αφηρημένες έννοιες
40,γλυκό,Φαγητό/Περιγραφικά
41,γουρούνι,Ζώα
42,Δανάη,Άνθρωποι/Ονόματα
43,δασκάλα,Άνθρωποι/Επαγγέλματα
44,δάσκαλος,Άνθρωποι/Επαγγέλματα
45,δάσος,Φύση
46,δύο,Αριθμοί
47,τρία,Αριθμοί
48,τέσσερα,Αριθμοί
49,πέντε,Αριθμοί
50,έξι,Αριθμοί
51,επτά,Αριθμοί
52,οκτώ,Αριθμοί
53,εννέα,Αριθμοί
54,δέκα,Αριθμοί
55,ένα,Αριθμοί
56,δέμα,Αντικείμενα
57,δίνω,Ενέργειες
58,δόντι,Μέρη του σώματος
59,δωμάτιο,Αντικείμενα/Μέρη
60,δώρο,Αντικείμενα
61,εγώ,Αφηρημένες έννοιες
62,εδώ,Αφηρημένες έννοιες
63,εικόνα,Αντικείμενα
64,είναι,Αφηρημένες έννοιες
65,Ειρήνη,Άνθρωποι/Ονόματα
66,εκεί,Αφηρημένες έννοιες
67,έλα,Ενέργειες
68,ελάτε,Ενέργειες
69,έλατο,Φύση
70,Ελένη,Άνθρωποι/Ονόματα
71,εμείς,Αφηρημένες έννοιες
72,εμένα,Αφηρημένες έννοιες
73,ένα,Αφηρημένες έννοιες
74,εσένα,Αφηρημένες έννοιες
75,εσύ,Αφηρημένες έννοιες
76,Εύη,Άνθρωποι/Ονόματα
77,ευρώ,Αφηρημένες έννοιες
78,έχω,Ενέργειες
79,ζάρι,Αντικείμενα/Παιχνίδια
80,ένα,Αριθμοί
