1,i love,Actions
2,cucumber,Food
3,cow,Animals
4,hug,Actions/Abstract
5,anchor,Objects
6,hall,Objects/Places
7,Emilia,People/Names
8,salt,Food
9,fox,Animals
10,horse,Animals
11,Anna,People/Names
12,spring,Time/Nature
13,excellent,Descriptive
14,egg,Food
15,yard,Objects/Places
16,ear,Body Parts
17,they,Abstract Concepts
18,car,Objects/Transport
19,he,Abstract Concepts
20,I put,Actions
21,boat,Objects/Transport
22,i take out,Actions
23,Vivi,People/Names
24,book,Objects
25,screw,Objects
26,i see,Actions
27,walk,Actions
28,mountain,Nature
29,i find,Actions
30,donkey,Animals
31,milk,Food
32,light blue,Colors
33,Serenity,People/Names
34,gloves,Objects
35,cat,Animals
36,hello,Abstract Concepts
37,I laugh,Actions
38,grandmother,People/Family
39,goal,Abstract Concepts
40,sweet,Food/Descriptive
41,pig,Animals
42,Danae,People/Names
43,teacher,People/Profession
44,teacher,People/Profession
45,forest,Nature
46,two,Numbers
47,three,Numbers
48,four,Numbers
49,five,Numbers
50,six,Numbers
51,seven,Numbers
52,eight,Numbers
53,nine,Numbers
54,ten,Numbers
55,one,Numbers
56,parcel,Objects
57,i give,Actions
58,tooth,Body Parts
59,room,Objects/Places
60,gift,Objects
61,me,Abstract Concepts
62,here,Abstract Concepts
63,image,Objects
64,it is new,Abstract Concepts
65,Peace,People/Names
66,there,Abstract Concepts
67,come on,Actions
68,come on,Actions
69,fir tree,Nature
70,Helen,People/Names
71,we,Abstract Concepts
72,me,Abstract Concepts
73,one,Abstract Concepts
74,you,Abstract Concepts
75,you,Abstract Concepts
76,Evie,People/Names
77,euro,Abstract Concepts
78,i have,Actions
79,dice,Objects/Games
80,one,Numbers
81,two,Numbers
82,three,Numbers
83,four,Numbers
84,five,Numbers
85,six,Numbers
86,seven,Numbers
87,eight,Numbers
88,nine,Numbers
89,ten,Numbers
90,sugar,Food
91,zebra,Animals
92,heat,Nature/Feelings
93,hot,Descriptive
94,buzz,Animals
95,Life,People/Names
96,zone,Objects
97,Ilias,People/Names
98,sun,Nature
99,sea,Nature
100,Thanos,People/Names
101,aunt,People/Family
102,uncle,People/Family
103,i want,Actions
104,knight,People/Profession
105,and,Abstract Concepts
106,cocoa,Food
107,bad,Descriptive
108,basket,Objects
109,good,Descriptive
110,summer,Time/Nature
111,bell,Objects
112,i do,Actions
113,Karagiozis,People/Culture
114,chair,Objects
115,carrot,Food
116,chestnuts,Food
117,goat,Animals
118,down,Abstract Concepts
119,coffee,Food
120,cherry,Food
121,candle,Objects
122,guitar,Objects
123,Kiki,People/Names
124,mobile,Objects/Tech
125,yellow,Colors
126,i cut,Actions
