1,j'aime,Actions
2,concombre,Nourriture
3,vache,Animaux
4,câlin,Actions/Résumé
5,ancre,Objets
6,salle,Objets/Lieux
7,Émilie,Personnes/Noms
8,sel,Nourriture
9,renard,Animaux
10,cheval,Animaux
11,Anna,Personnes/Noms
12,printemps,Temps/Nature
13,excellent,Descriptif
14,oeuf,Nourriture
15,cour,Objets/Lieux
16,oreille,Parties du corps
17,ils,Concepts abstraits
18,voiture,Objets/Transport
19,il,Concepts abstraits
20,je mets,Actions
21,bateau,Objets/Transport
22,je sors,Actions
23,Vivi,Personnes/Noms
24,livre,Objets
25,vis,Objets
26,je vois,Actions
27,marcher,Actions
28,montagne,Nature
29,je trouve,Actions
30,âne,Animaux
31,lait,Nourriture
32,bleu clair,Couleurs
33,Sérénité,Personnes/Noms
34,gants,Objets
35,chat,Animaux
36,bonjour,Concepts abstraits
37,je ris,Actions
38,grand-mère,Personnes/Famille
39,objectif,Concepts abstraits
40,doux,Nourriture/descriptif
41,cochon,Animaux
42,Danaé,Personnes/Noms
43,professeur,Personnes/Profession
44,professeur,Personnes/Profession
45,forêt,Nature
46,deux,Numéros
47,trois,Numéros
48,quatre,Numéros
49,cinq,Numéros
50,six,Numéros
51,sept,Numéros
52,huit,Numéros
53,neuf,Numéros
54,dix,Numéros
55,un,Numéros
56,colis,Objets
57,je donne,Actions
58,dent,Parties du corps
59,chambre,Objets/Lieux
60,cadeau,Objets
61,moi,Concepts abstraits
62,ici,Concepts abstraits
63,photo,Objets
64,c'est nouveau,Concepts abstraits
65,Paix,Personnes/Noms
66,là,Concepts abstraits
67,allez,Actions
68,allez,Actions
69,sapin,Nature
70,Hélène,Personnes/Noms
71,nous,Concepts abstraits
72,moi,Concepts abstraits
73,un,Concepts abstraits
74,tu,Concepts abstraits
75,tu,Concepts abstraits
76,Evie,Personnes/Noms
77,euros,Concepts abstraits
78,j'ai,Actions
79,dés,Objets/Jeux
80,un,Numéros
81,deux,Numéros
82,trois,Numéros
83,quatre,Numéros
84,cinq,Numéros
85,six,Numéros
86,sept,Numéros
87,huit,Numéros
88,neuf,Numéros
89,dix,Numéros
90,sucre,Nourriture
91,zèbre,Animaux
92,chaleur,Nature/Sentiments
93,chaud,Descriptif
94,bourdonnement,Animaux
95,La vie,Personnes/Noms
96,zone,Objets
97,Ilias,Personnes/Noms
98,soleil,Nature
99,mer,Nature
100,Thanos,Personnes/Noms
101,tante,Personnes/Famille
102,oncle,Personnes/Famille
103,je veux,Actions
104,chevalier,Personnes/Profession
105,et,Concepts abstraits
106,cacao,Nourriture
107,mauvais,Descriptif
108,panier,Objets
109,bien,Descriptif
110,l'été,Temps/Nature
111,cloche,Objets
112,je fais,Actions
113,Karagiozis,Personnes/Culture
114,chaise,Objets
115,carotte,Nourriture
116,châtaignes,Nourriture
117,chèvre,Animaux
118,vers le bas,Concepts abstraits
119,café,Nourriture
120,cerise,Nourriture
121,bougie,Objets
122,guitare,Objets
123,Kiki,Personnes/Noms
124,mobile,Objets/Technologie
125,jaune,Couleurs
126,j'ai coupé,Actions
127,je dors,Actions
128,regarde,Actions
129,rouge,Couleurs
130,poule,Animaux
131,bagel,Nourriture
132,cuillère,Objets
133,cercle,Formes
134,lièvre,Animaux
135,huile,Nourriture
136,cou,Parties du corps
137,lampe,Objets
138,citron,Nourriture
139,Léna,Personnes/Noms
140,Gaucheris,Personnes/Noms
141,fleur,Nature
142,loup,Animaux
143,j'apprends,Actions
144,leçon,Concepts abstraits
145,singe,Animaux
146,spaghettis,Nourriture
147,maman,Personnes/Famille
148,Manos,Personnes/Noms
149,laitue,Nourriture
150,oeil,Parties du corps
151,couteau,Objets
152,je m'appelle,Concepts abstraits
153,grand,Descriptif
154,chérie,Nourriture
155,Mélina,Personnes/Noms
156,abeille,Animaux
157,jour,Temps
158,à l'intérieur,Concepts abstraits
159,pomme,Nourriture
160,un,Concepts abstraits
161,petit,Descriptif
162,je parle,Actions
163,je partage,Actions
164,crayon,Objets
165,musique,Concepts abstraits
166,balle,Objets/Jeux
167,ballon,Objets
168,papa,Personnes/Famille
169,Babis,Personnes/Noms
170,banane,Nourriture
171,salle de bain,Objets/Lieux
172,bâton de marche,Objets
173,bleu,Couleurs
174,nez,Parties du corps
175,violet,Couleurs
176,bébé,Personnes/Famille
177,à,Concepts abstraits
178,oui,Concepts abstraits
179,Mamie,Personnes/Noms
180,nain,Personnes/Culture
181,eau,Alimentation/Nature
182,ninny,Personnes/Famille
183,Dinah,Personnes/Noms
184,tomate,Nourriture
185,garde-robe,Objets
186,ongles,Parties du corps
187,Étranger,Personnes/Noms
188,je sais,Actions
189,vinaigre,Nourriture
190,escrime,Animaux
191,bois,Nature
192,je me réveille,Actions
193,grattoir,Objets
194,famille,Personnes/Famille
195,parapluie,Objets
196,queue,Parties du corps
197,non,Concepts abstraits
198,banc,Objets
199,côtes,Nourriture
200,enfant,Les gens
201,les gars,Les gens
202,nous jouons,Actions
203,je joue,Actions
