1,is breá liom,Gníomhartha
2,cúcamar,Bia
3,bó,Ainmhithe
4,barróg,Gníomhartha/Achoimre
5,ancaire,Réada
6,halla,Réada/Áiteanna
7,Emilia,Daoine/Ainmneacha
8,salann,Bia
9,sionnach,Ainmhithe
10,capall,Ainmhithe
11,Anna,Daoine/Ainmneacha
12,earrach,Am/Dúlra
13,ar fheabhas,Tuairisciúil
14,ubh,Bia
15,clós,Réada/Áiteanna
16,cluas,Páirteanna Coirp
17,siad,Coincheapa Teibí
18,carr,Cuspóirí/Iompar
19,sé,Coincheapa Teibí
20,chuir mé,Gníomhartha
21,bád,Cuspóirí/Iompar
22,tógaim amach,Gníomhartha
23,Vivi,Daoine/Ainmneacha
24,leabhar,Réada
25,scriú,Réada
26,feicim,Gníomhartha
27,siúl,Gníomhartha
28,sliabh,Dúlra
29,faighim,Gníomhartha
30,asal,Ainmhithe
31,bainne,Bia
32,gorm éadrom,Dathanna
33,Suaimhneas,Daoine/Ainmneacha
34,lámhainní,Réada
35,cat,Ainmhithe
36,dia duit,Coincheapa Teibí
37,gáire mé,Gníomhartha
38,seanmháthair,Daoine/Teaghlach
39,sprioc,Coincheapa Teibí
40,milis,Bia/Tuairisciúil
41,muc,Ainmhithe
42,Dána,Daoine/Ainmneacha
43,múinteoir,Daoine/Gairm
44,múinteoir,Daoine/Gairm
45,foraoise,Dúlra
46,dhá,Uimhreacha
47,trí,Uimhreacha
48,ceathair,Uimhreacha
49,cúig,Uimhreacha
50,seisear,Uimhreacha
51,seacht,Uimhreacha
52,ocht,Uimhreacha
53,naoi,Uimhreacha
54,deich,Uimhreacha
55,aon,Uimhreacha
56,beartán,Réada
57,tugaim,Gníomhartha
58,fiacail,Páirteanna Coirp
59,seomra,Réada/Áiteanna
60,bronntanas,Réada
61,liom,Coincheapa Teibí
62,anseo,Coincheapa Teibí
63,íomhá,Réada
64,tá sé nua,Coincheapa Teibí
65,Síocháin,Daoine/Ainmneacha
66,ann,Coincheapa Teibí
67,tar ar,Gníomhartha
68,tar ar,Gníomhartha
69,crann giúise,Dúlra
70,Héilin,Daoine/Ainmneacha
71,againn,Coincheapa Teibí
72,liom,Coincheapa Teibí
73,aon,Coincheapa Teibí
74,leat,Coincheapa Teibí
75,leat,Coincheapa Teibí
76,Éibhir,Daoine/Ainmneacha
77,euro,Coincheapa Teibí
78,tá agam,Gníomhartha
79,dísle,Réada/Cluichí
80,aon,Uimhreacha
81,dhá,Uimhreacha
82,trí,Uimhreacha
83,ceathair,Uimhreacha
84,cúig,Uimhreacha
85,seisear,Uimhreacha
86,seacht,Uimhreacha
87,ocht,Uimhreacha
88,naoi,Uimhreacha
89,deich,Uimhreacha
90,siúcra,Bia
91,séabra,Ainmhithe
92,teas,Nádúr/Mothúcháin
93,te,Tuairisciúil
94,buzz,Ainmhithe
95,Saol,Daoine/Ainmneacha
96,chrios,Réada
97,Ilias,Daoine/Ainmneacha
98,ghrian,Dúlra
99,farraige,Dúlra
100,Thanos,Daoine/Ainmneacha
101,aintín,Daoine/Teaghlach
102,uncail,Daoine/Teaghlach
103,ba mhaith liom,Gníomhartha
104,ridire,Daoine/Gairm
105,agus,Coincheapa Teibí
106,cócó,Bia
107,olc,Tuairisciúil
108,ciseán,Réada
109,maith,Tuairisciúil
110,samhradh,Am/Dúlra
111,clog,Réada
112,déanaim,Gníomhartha
113,Karagiozis,Daoine/Cultúr
114,cathaoir,Réada
115,cairéad,Bia
116,castáin,Bia
117,gabhar,Ainmhithe
118,síos,Coincheapa Teibí
119,caife,Bia
120,silín,Bia
121,coinneal,Réada
122,giotár,Réada
123,Kiki,Daoine/Ainmneacha
124,soghluaiste,Cuspóirí/Teicneolaíocht
125,buí,Dathanna
126,ghearr mé,Gníomhartha
127,Tá mé i mo chodladh,Gníomhartha
128,cuma,Gníomhartha
129,dearg,Dathanna
130,cearc,Ainmhithe
131,bagail,Bia
132,spúnóg,Réada
133,ciorcal,Cruthanna
134,giorria,Ainmhithe
135,ola,Bia
136,muineál,Páirteanna Coirp
137,lampa,Réada
138,líomóide,Bia
139,Lena,Daoine/Ainmneacha
140,Lefteris,Daoine/Ainmneacha
141,bláth,Dúlra
142,mac tíre,Ainmhithe
143,Tá mé ag foghlaim,Gníomhartha
144,ceacht,Coincheapa Teibí
145,moncaí,Ainmhithe
146,spaghetti,Bia
147,mama,Daoine/Teaghlach
148,Manós,Daoine/Ainmneacha
149,leitís,Bia
150,súl,Páirteanna Coirp
151,scian,Réada
152,is ainm dom,Coincheapa Teibí
153,mór,Tuairisciúil
154,mil,Bia
155,Melina,Daoine/Ainmneacha
156,beacha,Ainmhithe
157,lá,Am
158,istigh,Coincheapa Teibí
159,úll,Bia
160,aon,Coincheapa Teibí
161,beag,Tuairisciúil
162,labhraím,Gníomhartha
163,roinnim,Gníomhartha
164,peann luaidhe,Réada
165,ceol,Coincheapa Teibí
166,liathróid,Réada/Cluichí
167,balún,Réada
168,daid,Daoine/Teaghlach
169,Babis,Daoine/Ainmneacha
170,banana,Bia
171,seomra folctha,Réada/Áiteanna
172,maide siúil,Réada
173,gorm,Dathanna
174,srón,Páirteanna Coirp
175,corcra,Dathanna
176,leanbh,Daoine/Teaghlach
177,chuig,Coincheapa Teibí
178,tá,Coincheapa Teibí
179,Nana,Daoine/Ainmneacha
180,damh,Daoine/Cultúr
181,uisce,Bia/Dúlra
182,nóin,Daoine/Teaghlach
183,Dina,Daoine/Ainmneacha
184,tráta,Bia
185,wardrobe,Réada
186,tairní,Páirteanna Coirp
187,Coigreach,Daoine/Ainmneacha
188,tá a fhios agam,Gníomhartha
189,fínéagar,Bia
190,claíomh,Ainmhithe
191,adhmaid,Dúlra
192,dúisím,Gníomhartha
193,scraper,Réada
194,teaghlach,Daoine/Teaghlach
195,scáth fearthainne,Réada
196,eireaball,Páirteanna Coirp
197,níl,Coincheapa Teibí
198,binse,Réada
199,easnacha,Bia
200,leanbh,Daoine
201,guys,Daoine
202,imrímid,Gníomhartha
203,imrím,Gníomhartha
204,cluichí,Réada
205,a ligean ar dul,Gníomhartha
206,biatas,Bia
207,thuas,Coincheapa Teibí
208,parrot,Ainmhithe
209,lacha,Ainmhithe
210,seanathair,Daoine/Teaghlach
211,fuinneoige,Réada
212,scéal fairy,Cuspóirí/Cultúr
213,práta,Bia
214,scátála,Réada
215,téim,Gníomhartha
216,melon,Bia
217,caith amach,Gníomhartha
218,crann péine,Dúlra
219,pláta,Réada
220,tábla,Réada
221,ólaim,Gníomhartha
222,piobar,Bia
223,pacifier,Réada
224,forc,Réada
225,pióg,Bia
226,píotsa,Bia
227,seachas,Coincheapa Teibí
228,long,Cuspóirí/Iompar
229,rothar,Cuspóirí/Iompar
230,chos,Páirteanna Coirp
231,dán,Cuspóirí/Cultúr
232,luchóg,Ainmhithe
233,Pápa,Daoine/Ainmneacha
234,oráiste,Dathanna
235,oráiste,Bia
236,gloine,Réada
237,éan,Ainmhithe
238,glas,Dathanna
239,Rena,Daoine/Ainmneacha
240,péitseog,Bia
241,bándearg,Dathanna
242,clog,Réada
243,éadaí,Réada
244,rís,Bia
245,salami,Bia
246,sailéad,Bia
247,Sasha,Daoine/Ainmneacha
248,laghairt,Ainmhithe
249,diallait,Réada
250,soilire,Bia
251,dréimire,Réada
252,gráinneog,Ainmhithe
253,madra,Ainmhithe
254,seacláid,Bia
255,anraith,Bia
256,mheaitseáil,Réada
257,abhaile,Réada/Áiteanna
258,stopaim,Gníomhartha
259,fíonchaor,Bia
260,fleasc,Réada
261,béal,Páirteanna Coirp
262,stad,Réada
263,móide,Coincheapa Teibí
264,spúinse,Réada
265,scoil,Réada/Áiteanna
266,rang,Coincheapa Teibí
267,tacsaí,Cuspóirí/Iompar
268,cearnóg,Cruthanna
269,teallach,Réada
270,gloine,Réada
271,cicada,Ainmhithe
272,teilifís,Cuspóirí/Teicneolaíocht
273,roth stiúrtha,Réada
274,Tina,Daoine/Ainmneacha
275,balla,Réada
276,áit,Réada
277,cáca,Bia
278,tábla,Réada
279,triantán,Cruthanna
280,ithim,Gníomhartha
281,tae,Bia
282,mála,Réada
283,sorcas,Cuspóirí/Cultúr
284,cáis,Bia
285,Eibhne,Daoine/Ainmneacha
286,ríomhaire,Cuspóirí/Teicneolaíocht
287,bia,Bia
288,Fanis,Daoine/Ainmneacha
289,teach solais,Réada
290,pónairí,Bia
291,gealach,Dúlra
292,cara,Daoine
293,gúna,Réada
294,éadrom,Dúlra
295,tine,Dúlra
296,Harry,Daoine/Ainmneacha
297,geimhreadh,Am/Dúlra
298,turtar,Ainmhithe
299,lámh,Páirteanna Coirp
300,damhsaim,Gníomhartha
301,sú,Bia
302,siosúr,Réada
303,iasc,Bia/Ainmhithe
304,táim ag féachaint,Gníomhartha
305,bácáil mé,Gníomhartha
306,gríl,Réada
307,Psipina,Ainmhithe/Ainmneacha
308,arán,Bia
309,siopadóireacht,Gníomhartha
310,am,Am
