1,ja volim,Radnje
2,krastavac,hrana
3,krava,Životinje
4,zagrljaj,Radnje/Sažetak
5,sidro,Predmeti
6,dvorana,Objekti/Mjesta
7,Emilija,Ljudi/imena
8,sol,hrana
9,lisica,Životinje
10,konja,Životinje
11,Anna,Ljudi/imena
12,proljeće,Vrijeme/Priroda
13,izvrsno,Opisno
14,jaje,hrana
15,dvorište,Objekti/Mjesta
16,uho,Dijelovi tijela
17,oni,Apstraktni pojmovi
18,auto,Objekti/Transport
19,on,Apstraktni pojmovi
20,stavio sam,Radnje
21,čamac,Objekti/Transport
22,izvadim,Radnje
23,Vivi,Ljudi/imena
24,knjiga,Predmeti
25,vijak,Predmeti
26,vidim,Radnje
27,hodati,Radnje
28,planina,Priroda
29,nalazim,Radnje
30,magarac,Životinje
31,mlijeko,hrana
32,svijetloplava,Boje
33,Vedrina,Ljudi/imena
34,rukavice,Predmeti
35,mačka,Životinje
36,zdravo,Apstraktni pojmovi
37,nasmijem se,Radnje
38,baka,Ljudi/Obitelj
39,cilj,Apstraktni pojmovi
40,slatko,Hrana/Opisno
41,svinja,Životinje
42,Danaja,Ljudi/imena
43,učiteljica,Ljudi/profesija
44,učiteljica,Ljudi/profesija
45,šuma,Priroda
46,dvije,Brojke
47,tri,Brojke
48,četiri,Brojke
49,pet,Brojke
50,šest,Brojke
51,sedam,Brojke
52,osam,Brojke
53,devet,Brojke
54,deset,Brojke
55,jedna,Brojke
56,parcela,Predmeti
57,dajem,Radnje
58,zub,Dijelovi tijela
59,soba,Objekti/Mjesta
60,poklon,Predmeti
61,mene,Apstraktni pojmovi
62,ovdje,Apstraktni pojmovi
63,slika,Predmeti
64,novo je,Apstraktni pojmovi
65,mir,Ljudi/imena
66,ondje,Apstraktni pojmovi
67,hajde,Radnje
68,hajde,Radnje
69,jelka,Priroda
70,Helen,Ljudi/imena
71,mi,Apstraktni pojmovi
72,mene,Apstraktni pojmovi
73,jedna,Apstraktni pojmovi
74,tebe,Apstraktni pojmovi
75,tebe,Apstraktni pojmovi
76,Evie,Ljudi/imena
77,eura,Apstraktni pojmovi
78,ja imam,Radnje
79,kockice,Predmeti/Igre
80,jedna,Brojke
81,dvije,Brojke
82,tri,Brojke
83,četiri,Brojke
84,pet,Brojke
85,šest,Brojke
86,sedam,Brojke
87,osam,Brojke
88,devet,Brojke
89,deset,Brojke
90,šećera,hrana
91,zebra,Životinje
92,vrućina,Priroda/Osjećaji
93,vruće,Opisno
94,zujati,Životinje
95,Život,Ljudi/imena
96,zoni,Predmeti
97,Ilias,Ljudi/imena
98,sunce,Priroda
99,more,Priroda
100,Thanos,Ljudi/imena
101,teta,Ljudi/Obitelj
102,ujak,Ljudi/Obitelj
103,želim,Radnje
104,vitez,Ljudi/profesija
105,i,Apstraktni pojmovi
106,kakao,hrana
107,loše,Opisno
108,košarica,Predmeti
109,dobar,Opisno
110,ljeto,Vrijeme/Priroda
111,zvono,Predmeti
112,ja radim,Radnje
113,Karagiozis,Ljudi/Kultura
114,stolica,Predmeti
115,mrkva,hrana
116,kestenovi,hrana
117,koza,Životinje
118,dolje,Apstraktni pojmovi
119,kava,hrana
120,trešnja,hrana
121,svijeća,Predmeti
122,gitara,Predmeti
123,Kiki,Ljudi/imena
124,mobilni,Objekti/Tehn
125,žuti,Boje
126,rezao sam,Radnje
127,ja spavam,Radnje
128,pogledati,Radnje
129,crvena,Boje
130,kokoš,Životinje
131,bagel,hrana
132,žlica,Predmeti
133,krug,Oblici
134,zec,Životinje
135,ulje,hrana
136,vrat,Dijelovi tijela
137,lampa,Predmeti
138,limun,hrana
139,Lena,Ljudi/imena
140,Lefteris,Ljudi/imena
141,cvijet,Priroda
142,vuk,Životinje
143,ja učim,Radnje
