1,aš myliu,Veiksmai
2,agurkas,Maistas
3,karvė,Gyvūnai
4,apkabinti,Veiksmai / Santrauka
5,inkaras,Objektai
6,salė,Objektai/Vietos
7,Emilija,Žmonės/Vardai
8,druskos,Maistas
9,lapė,Gyvūnai
10,arklys,Gyvūnai
11,Ana,Žmonės/Vardai
12,pavasaris,Laikas/Gamta
13,puikiai,Aprašomasis
14,kiaušinis,Maistas
15,kiemas,Objektai/Vietos
16,ausis,Kūno dalys
17,jie,Abstrakčios sąvokos
18,automobilis,Objektai/Transportas
19,jis,Abstrakčios sąvokos
20,įdėjau,Veiksmai
21,valtis,Objektai/Transportas
22,aš išimu,Veiksmai
23,Vivi,Žmonės/Vardai
24,knyga,Objektai
25,varžtas,Objektai
26,matau,Veiksmai
27,vaikščioti,Veiksmai
28,kalnas,Gamta
29,randu,Veiksmai
30,asilas,Gyvūnai
31,pieno,Maistas
32,šviesiai mėlyna,Spalvos
33,Ramybė,Žmonės/Vardai
34,pirštines,Objektai
35,katė,Gyvūnai
36,sveiki,Abstrakčios sąvokos
37,juokiuosi,Veiksmai
38,močiutė,Žmonės/Šeima
39,tikslas,Abstrakčios sąvokos
40,saldus,Maistas / aprašomasis
41,kiaulė,Gyvūnai
42,Danae,Žmonės/Vardai
43,mokytojas,Žmonės/profesija
44,mokytojas,Žmonės/profesija
45,miškas,Gamta
46,du,Skaičiai
47,trys,Skaičiai
48,keturi,Skaičiai
49,penkios,Skaičiai
50,šeši,Skaičiai
51,septyni,Skaičiai
52,aštuoni,Skaičiai
53,devynios,Skaičiai
54,dešimt,Skaičiai
55,vienas,Skaičiai
56,siuntinys,Objektai
57,aš duodu,Veiksmai
58,dantis,Kūno dalys
59,kambarys,Objektai/Vietos
60,dovana,Objektai
61,aš,Abstrakčios sąvokos
62,čia,Abstrakčios sąvokos
63,vaizdas,Objektai
64,tai nauja,Abstrakčios sąvokos
65,Ramybė,Žmonės/Vardai
66,ten,Abstrakčios sąvokos
67,eik,Veiksmai
68,eik,Veiksmai
69,eglė,Gamta
70,Helen,Žmonės/Vardai
71,mes,Abstrakčios sąvokos
72,aš,Abstrakčios sąvokos
