1,inħobb,Azzjonijiet
2,ħjar,Ikel
3,baqra,Annimali
4,tgħanniqa,Azzjonijiet/Astratt
5,ankra,Oġġetti
6,sala,Oġġetti/Postijiet
7,Emilia,Nies/Ismijiet
8,melħ,Ikel
9,volpi,Annimali
10,żiemel,Annimali
11,Anna,Nies/Ismijiet
12,rebbiegħa,Ħin/Natura
13,eċċellenti,Deskrittiv
14,bajda,Ikel
15,tarzna,Oġġetti/Postijiet
16,widna,Partijiet tal-ġisem
17,huma,Kunċetti Astratti
18,karozza,Oġġetti/Trasport
19,hu,Kunċetti Astratti
20,nressaq,Azzjonijiet
21,dgħajsa,Oġġetti/Trasport
22,noħroġ,Azzjonijiet
23,Vivi,Nies/Ismijiet
24,ktieb,Oġġetti
25,kamin,Oġġetti
26,nara,Azzjonijiet
27,jimxu,Azzjonijiet
28,muntanji,Natura
29,insib,Azzjonijiet
30,ħmar,Annimali
31,ħalib,Ikel
32,blu ċar,Kuluri
33,Serenità,Nies/Ismijiet
34,ingwanti,Oġġetti
35,qattus,Annimali
36,hello,Kunċetti Astratti
37,Nidħak,Azzjonijiet
38,nanna,Nies/Familja
39,għan,Kunċetti Astratti
40,ħelu,Ikel/Deskrittiv
41,ħanżir,Annimali
42,Danae,Nies/Ismijiet
43,għalliem,Nies/Professjoni
44,għalliem,Nies/Professjoni
45,foresta,Natura
46,tnejn,Numri
47,tlieta,Numri
48,erba,Numri
49,ħamsa,Numri
50,sitta,Numri
51,sebgħa,Numri
52,tmienja,Numri
53,disgħa,Numri
54,għaxra,Numri
55,wieħed,Numri
56,pakkett,Oġġetti
57,nagħti,Azzjonijiet
58,sinna,Partijiet tal-ġisem
59,kamra,Oġġetti/Postijiet
60,rigal,Oġġetti
61,jien,Kunċetti Astratti
62,hawn,Kunċetti Astratti
63,immaġni,Oġġetti
64,huwa ġdid,Kunċetti Astratti
65,Paċi,Nies/Ismijiet
66,hemm,Kunċetti Astratti
67,ejja,Azzjonijiet
68,ejja,Azzjonijiet
69,siġra taż-żnuber,Natura
70,Helen,Nies/Ismijiet
71,aħna,Kunċetti Astratti
72,jien,Kunċetti Astratti
73,wieħed,Kunċetti Astratti
74,int,Kunċetti Astratti
75,int,Kunċetti Astratti
76,Evie,Nies/Ismijiet
77,euro,Kunċetti Astratti
78,għandi,Azzjonijiet
79,dadi,Oġġetti/Logħob
80,wieħed,Numri
81,tnejn,Numri
82,tlieta,Numri
83,erba,Numri
84,ħamsa,Numri
85,sitta,Numri
86,sebgħa,Numri
87,tmienja,Numri
88,disgħa,Numri
89,għaxra,Numri
90,zokkor,Ikel
91,zebra,Annimali
92,sħana,Natura/Sentimenti
93,sħun,Deskrittiv
94,buzz,Annimali
95,Ħajja,Nies/Ismijiet
96,żona,Oġġetti
97,Ilias,Nies/Ismijiet
98,xemx,Natura
99,baħar,Natura
100,Thanos,Nies/Ismijiet
101,zija,Nies/Familja
102,ziju,Nies/Familja
103,irrid,Azzjonijiet
104,kavallier,Nies/Professjoni
105,u,Kunċetti Astratti
106,kawkaw,Ikel
107,ħażin,Deskrittiv
108,qoffa,Oġġetti
109,tajba,Deskrittiv
110,is-sajf,Ħin/Natura
111,qanpiena,Oġġetti
112,jien,Azzjonijiet
113,Karagiozis,Nies/Kultura
114,president,Oġġetti
115,zunnarija,Ikel
116,qastan,Ikel
117,mogħoż,Annimali
118,isfel,Kunċetti Astratti
119,kafè,Ikel
120,ċirasa,Ikel
121,xemgħa,Oġġetti
122,kitarra,Oġġetti
123,Kiki,Nies/Ismijiet
124,mobbli,Oġġetti/Teknoloġija
125,isfar,Kuluri
126,naqta’,Azzjonijiet
127,Jien torqod,Azzjonijiet
128,ħares,Azzjonijiet
129,aħmar,Kuluri
130,tiġieġa,Annimali
131,bagel,Ikel
132,mgħarfa,Oġġetti
133,ċirku,Forom
134,liebru,Annimali
135,żejt,Ikel
136,għonq,Partijiet tal-ġisem
137,fanal,Oġġetti
138,lumi,Ikel
139,Lena,Nies/Ismijiet
140,Lefteris,Nies/Ismijiet
141,fjura,Natura
142,lupu,Annimali
143,Qed nitgħallem,Azzjonijiet
144,lezzjoni,Kunċetti Astratti
145,xadina,Annimali
146,spagetti,Ikel
147,omm,Nies/Familja
148,Manos,Nies/Ismijiet
149,ħass,Ikel
150,għajn,Partijiet tal-ġisem
151,sikkina,Oġġetti
152,jisimni,Kunċetti Astratti
153,kbar,Deskrittiv
154,għasel,Ikel
155,Melina,Nies/Ismijiet
156,naħla,Annimali
157,jum,Ħin
158,ġewwa,Kunċetti Astratti
159,tuffieħ,Ikel
160,wieħed,Kunċetti Astratti
161,żgħar,Deskrittiv
162,nitkellem,Azzjonijiet
163,Naqsam,Azzjonijiet
164,lapes,Oġġetti
165,mużika,Kunċetti Astratti
