1,jag älskar,Åtgärder
2,gurka,Mat
3,ko,Djur
4,kram,Actions/Abstract
5,ankare,Objekt
6,hall,Objekt/platser
7,Emilia,Människor/namn
8,salt,Mat
9,räv,Djur
10,häst,Djur
11,Anna,Människor/namn
12,våren,Tid/Natur
13,utmärkt,Beskrivande
14,ägg,Mat
15,gård,Objekt/platser
16,öra,Kroppsdelar
17,de,Abstrakta begrepp
18,bil,Objekt/Transport
19,han,Abstrakta begrepp
20,jag satte,Åtgärder
21,båt,Objekt/Transport
22,jag tar ut,Åtgärder
23,Vivi,Människor/namn
24,bok,Objekt
25,skruv,Objekt
26,jag förstår,Åtgärder
27,gå,Åtgärder
28,berg,Naturen
29,jag hittar,Åtgärder
30,åsna,Djur
31,mjölk,Mat
32,ljusblå,Färger
33,Serenity,Människor/namn
34,handskar,Objekt
35,katt,Djur
36,hej,Abstrakta begrepp
37,Jag skrattar,Åtgärder
38,mormor,Människor/Familj
39,mål,Abstrakta begrepp
40,söt,Mat/Beskrivande
41,gris,Djur
42,Danae,Människor/namn
43,lärare,Människor/Yrke
44,lärare,Människor/Yrke
45,skog,Naturen
46,två,Siffror
47,tre,Siffror
48,fyra,Siffror
49,fem,Siffror
50,sex,Siffror
51,sju,Siffror
52,åtta,Siffror
53,nio,Siffror
54,tio,Siffror
55,en,Siffror
56,paket,Objekt
57,jag ger,Åtgärder
58,tand,Kroppsdelar
59,rum,Objekt/platser
60,gåva,Objekt
61,mig,Abstrakta begrepp
62,här,Abstrakta begrepp
63,bild,Objekt
64,det är nytt,Abstrakta begrepp
65,Fred,Människor/namn
66,där,Abstrakta begrepp
67,kom igen,Åtgärder
68,kom igen,Åtgärder
69,gran,Naturen
70,Helen,Människor/namn
71,vi,Abstrakta begrepp
72,mig,Abstrakta begrepp
73,en,Abstrakta begrepp
74,du,Abstrakta begrepp
75,du,Abstrakta begrepp
76,Evie,Människor/namn
77,euro,Abstrakta begrepp
78,jag har,Åtgärder
79,tärningar,Objekt/spel
80,en,Siffror
81,två,Siffror
82,tre,Siffror
83,fyra,Siffror
84,fem,Siffror
85,sex,Siffror
86,sju,Siffror
87,åtta,Siffror
88,nio,Siffror
89,tio,Siffror
90,socker,Mat
91,zebra,Djur
92,värme,Natur/Känslor
93,varmt,Beskrivande
94,surr,Djur
95,Livet,Människor/namn
96,zon,Objekt
97,Ilias,Människor/namn
98,sol,Naturen
99,havet,Naturen
100,Thanos,Människor/namn
101,faster,Människor/Familj
102,farbror,Människor/Familj
103,jag vill,Åtgärder
104,riddare,Människor/Yrke
105,och,Abstrakta begrepp
106,kakao,Mat
107,dåligt,Beskrivande
108,korg,Objekt
109,bra,Beskrivande
110,sommar,Tid/Natur
111,klocka,Objekt
112,jag gör,Åtgärder
113,Karagiozis,Människor/Kultur
114,stol,Objekt
115,morot,Mat
116,kastanjer,Mat
117,get,Djur
118,ner,Abstrakta begrepp
119,kaffe,Mat
120,körsbär,Mat
121,ljus,Objekt
122,gitarr,Objekt
123,Kiki,Människor/namn
124,mobil,Objekt/Tekn
125,gul,Färger
126,jag skär,Åtgärder
127,Jag sover,Åtgärder
128,titta,Åtgärder
129,rött,Färger
130,hen,Djur
131,bagel,Mat
132,sked,Objekt
133,cirkel,Former
134,hare,Djur
135,olja,Mat
136,halsen,Kroppsdelar
137,lampa,Objekt
138,citron,Mat
139,Lena,Människor/namn
140,Lefteris,Människor/namn
141,blomma,Naturen
142,varg,Djur
143,Jag lär mig,Åtgärder
144,lektion,Abstrakta begrepp
145,apa,Djur
146,spagetti,Mat
147,mamma,Människor/Familj
148,Manos,Människor/namn
149,sallad,Mat
150,öga,Kroppsdelar
151,kniv,Objekt
152,jag heter,Abstrakta begrepp
153,stor,Beskrivande
154,honung,Mat
155,Melina,Människor/namn
156,bi,Djur
157,dag,Tid
158,inuti,Abstrakta begrepp
159,äpple,Mat
160,en,Abstrakta begrepp
161,liten,Beskrivande
162,jag talar,Åtgärder
163,Jag delar,Åtgärder
164,penna,Objekt
165,musik,Abstrakta begrepp
166,boll,Objekt/spel
167,ballong,Objekt
168,pappa,Människor/Familj
169,Babis,Människor/namn
170,banan,Mat
171,badrum,Objekt/platser
172,promenadkäpp,Objekt
173,blått,Färger
174,näsan,Kroppsdelar
175,lila,Färger
