1,αγαπώ,Actions
2,αγγούρι,Food
3,αγελάδα,Animals
4,αγκαλιά,Actions/Abstract
5,άγκυρα,Objects
6,αίθουσα,Objects/Places
7,Αιμιλία,People/Names
8,αλάτι,Food
9,αλεπού,Animals
10,άλογο,Animals
11,Άννα,People/Names
12,άνοιξη,Time/Nature
13,άριστα,Descriptive
14,αυγό,Food
15,αυλή,Objects/Places
16,αυτί,Body Parts
17,αυτοί,Abstract Concepts
18,αυτοκίνητο,Objects/Transport
19,αυτός,Abstract Concepts
20,βάζω,Actions
21,βάρκα,Objects/Transport
22,βγάζω,Actions
23,Βιβή,People/Names
24,βιβλίο,Objects
25,βίδα,Objects
26,βλέπω,Actions
27,βόλτα,Actions
28,βουνό,Nature
29,βρίσκω,Actions
30,γάιδαρος,Animals
31,γάλα,Food
32,γαλάζιο,Colors
33,Γαλήνη,People/Names
34,γάντια,Objects
35,γάτα,Animals
36,γεια,Abstract Concepts
37,γελώ,Actions
38,γιαγιά,People/Family
39,γκολ,Abstract Concepts
40,γλυκό,Food/Descriptive
41,γουρούνι,Animals
42,Δανάη,People/Names
43,δασκάλα,People/Profession
44,δάσκαλος,People/Profession
45,δάσος,Nature
46,δύο,Αριθμοί
47,τρία,Αριθμοί
48,τέσσερα,Αριθμοί
49,πέντε,Αριθμοί
50,έξι,Αριθμοί
51,επτά,Αριθμοί
52,οκτώ,Αριθμοί
53,εννέα,Αριθμοί
54,δέκα,Αριθμοί
55,ένα,Αριθμοί
56,δέμα,Objects
57,δίνω,Actions
58,δόντι,Body Parts
59,δωμάτιο,Objects/Places
60,δώρο,Objects
61,εγώ,Abstract Concepts
62,εδώ,Abstract Concepts
63,εικόνα,Objects
64,είναι νέο,Abstract Concepts
65,Ειρήνη,People/Names
66,εκεί,Abstract Concepts
67,έλα,Actions
68,ελάτε,Actions
69,έλατο,Nature
70,Ελένη,People/Names
71,εμείς,Abstract Concepts
72,εμένα,Abstract Concepts
73,ένα,Abstract Concepts
74,εσένα,Abstract Concepts
75,εσύ,Abstract Concepts
